Neighbourhood,Neighbourhood Id,Total Population,Early Development Instrument (EDI),Healthy Food Index,Social Housing Units,Reference Period
Agincourt North,129.00,29113.00,12.33,38.09,247.00,2014.00
Agincourt South-Malvern West,128.00,23757.00,17.82,35.26,250.00,2014.00
Alderwood,20.00,12054.00,12.61,11.41,77.00,2014.00
Annex,95.00,30526.00,5.05,38.85,1436.00,2014.00
Banbury-Don Mills,42.00,27695.00,8.97,21.31,304.00,2014.00
Bathurst Manor,34.00,15873.00,14.04,18.80,301.00,2014.00
Bay Street Corridor,76.00,25797.00,19.44,24.83,754.00,2014.00
Bayview Village,52.00,21396.00,13.45,32.12,131.00,2014.00
Bayview Woods-Steeles,49.00,13154.00,24.42,35.61,174.00,2014.00
Bedford Park-Nortown,39.00,23236.00,9.76,47.74,236.00,2014.00
Beechborough-Greenbrook,112.00,6577.00,19.12,25.57,824.00,2014.00
Bendale,127.00,29960.00,16.59,29.12,504.00,2014.00
Birchcliffe-Cliffside,122.00,22291.00,13.57,32.74,370.00,2014.00
Black Creek,24.00,21737.00,19.26,41.84,1564.00,2014.00
Blake-Jones,69.00,7727.00,17.98,39.98,751.00,2014.00
Briar Hill-Belgravia,108.00,14257.00,11.30,34.23,316.00,2014.00
Bridle Path-Sunnybrook-York Mills,41.00,9266.00,17.39,22.26,43.00,2014.00
Broadview North,57.00,11499.00,22.22,31.36,154.00,2014.00
Brookhaven-Amesbury,30.00,17757.00,13.62,43.10,849.00,2014.00
Cabbagetown-South St.James Town,71.00,11669.00,13.33,43.71,860.00,2014.00
Caledonia-Fairbank,109.00,9955.00,11.71,53.48,7.00,2014.00
Casa Loma,96.00,10968.00,8.70,32.33,97.00,2014.00
Centennial Scarborough,133.00,13362.00,10.38,9.35,126.00,2014.00
Church-Yonge Corridor,75.00,31340.00,11.32,33.50,3324.00,2014.00
Clairlea-Birchmount,120.00,26984.00,10.90,30.80,422.00,2014.00
Clanton Park,33.00,16472.00,9.73,19.35,569.00,2014.00
Cliffcrest,123.00,15935.00,18.25,25.55,510.00,2014.00
Corso Italia-Davenport,92.00,14133.00,14.78,37.94,59.00,2014.00
Danforth,66.00,9666.00,7.14,32.16,356.00,2014.00
Danforth-East York,59.00,17180.00,11.59,24.56,423.00,2014.00
Don Valley Village,47.00,27051.00,14.96,37.87,111.00,2014.00
Dorset Park,126.00,25003.00,16.81,32.27,468.00,2014.00
Dovercourt-Wallace Emerson-Juncti,93.00,36625.00,19.30,35.06,1132.00,2014.00
Downsview-Roding-CFB,26.00,35052.00,15.54,23.72,571.00,2014.00
Dufferin Grove,83.00,11785.00,18.52,40.07,166.00,2014.00
East End-Danforth,62.00,21381.00,13.57,35.29,1016.00,2014.00
Edenbridge-Humber Valley,9.00,15535.00,7.02,46.41,0.00,2014.00
Eglinton East,138.00,22776.00,20.31,34.79,885.00,2014.00
Elms-Old Rexdale,5.00,9456.00,9.78,24.71,358.00,2014.00
Englemount-Lawrence,32.00,22372.00,24.65,43.98,2104.00,2014.00
Eringate-Centennial-West Deane,11.00,18588.00,10.96,10.43,0.00,2014.00
Etobicoke West Mall,13.00,11848.00,19.05,15.41,200.00,2014.00
Flemingdon Park,44.00,21933.00,22.83,21.66,748.00,2014.00
Forest Hill North,102.00,12806.00,11.11,29.11,311.00,2014.00
Forest Hill South,101.00,10732.00,13.04,18.49,174.00,2014.00
Glenfield-Jane Heights,25.00,30491.00,20.80,41.05,1511.00,2014.00
Greenwood-Coxwell,65.00,14417.00,5.88,44.29,830.00,2014.00
Guildwood,140.00,9917.00,10.71,15.57,48.00,2014.00
Henry Farm,53.00,15723.00,8.70,20.80,232.00,2014.00
High Park North,88.00,22162.00,7.10,40.24,788.00,2014.00
High Park-Swansea,87.00,23925.00,5.91,46.53,300.00,2014.00
Highland Creek,134.00,12494.00,14.81,0.63,0.00,2014.00
Hillcrest Village,48.00,16934.00,18.05,48.46,1027.00,2014.00
Humber Heights-Westmount,8.00,10948.00,9.72,32.82,688.00,2014.00
Humber Summit,21.00,12416.00,9.77,32.33,133.00,2014.00
Humbermede,22.00,15545.00,15.08,20.52,223.00,2014.00
Humewood-Cedarvale,106.00,14365.00,12.24,32.85,480.00,2014.00
Ionview,125.00,13641.00,8.72,47.14,348.00,2014.00
Islington-City Centre West,14.00,43965.00,14.24,31.01,1240.00,2014.00
Junction Area,90.00,14366.00,7.63,44.09,84.00,2014.00
Keelesdale-Eglinton West,110.00,11058.00,19.63,34.48,351.00,2014.00
Kennedy Park,124.00,17123.00,7.84,34.96,1360.00,2014.00
Kensington-Chinatown,78.00,17945.00,25.93,37.57,2064.00,2014.00
Kingsview Village-The Westway,6.00,22000.00,15.64,35.69,553.00,2014.00
Kingsway South,15.00,9271.00,4.82,43.15,0.00,2014.00
Lambton Baby Point,114.00,7985.00,14.15,27.28,668.00,2014.00
L'Amoreaux,117.00,43993.00,12.07,30.73,1776.00,2014.00
Lansing-Westgate,38.00,16164.00,11.20,19.11,0.00,2014.00
Lawrence Park North,105.00,14607.00,7.57,52.03,113.00,2014.00
Lawrence Park South,103.00,15179.00,6.15,37.53,113.00,2014.00
Leaside-Bennington,56.00,16828.00,13.30,40.94,0.00,2014.00
Little Portugal,84.00,15559.00,10.87,37.58,529.00,2014.00
Long Branch,19.00,10084.00,9.21,28.08,106.00,2014.00
Malvern,132.00,43794.00,11.06,38.63,1014.00,2014.00
Maple Leaf,29.00,10111.00,9.00,14.42,175.00,2014.00
Markland Wood,12.00,10554.00,8.11,7.99,0.00,2014.00
Milliken,130.00,26572.00,11.42,25.25,156.00,2014.00
Mimico,17.00,33964.00,13.85,21.59,879.00,2014.00
Morningside,135.00,17455.00,11.35,6.67,523.00,2014.00
Moss Park,73.00,20506.00,19.18,42.76,3399.00,2014.00
Mount Dennis,115.00,13593.00,21.15,29.91,1145.00,2014.00
Mount Olive-Silverstone-Jamestown,2.00,32954.00,19.53,37.57,1288.00,2014.00
Mount Pleasant East,99.00,16775.00,10.23,50.40,291.00,2014.00
Mount Pleasant West,104.00,29658.00,10.16,41.60,1383.00,2014.00
New Toronto,18.00,11463.00,10.42,24.84,1010.00,2014.00
Newtonbrook East,50.00,16097.00,12.87,29.12,0.00,2014.00
Newtonbrook West,36.00,23831.00,15.15,26.14,380.00,2014.00
Niagara,82.00,31180.00,13.58,34.94,939.00,2014.00
North Riverdale,68.00,11916.00,12.90,47.17,98.00,2014.00
North St.James Town,74.00,18615.00,16.15,34.03,1704.00,2014.00
Oakridge,121.00,13845.00,11.98,35.43,1486.00,2014.00
Oakwood Village,107.00,21210.00,15.05,41.07,825.00,2014.00
O'Connor-Parkview,54.00,18675.00,9.76,37.63,528.00,2014.00
Old East York,58.00,9233.00,9.47,24.76,182.00,2014.00
Palmerston-Little Italy,80.00,13826.00,10.99,45.81,169.00,2014.00
Parkwoods-Donalda,45.00,34805.00,15.81,33.60,805.00,2014.00
Pelmo Park-Humberlea,23.00,10722.00,14.00,21.71,359.00,2014.00
Playter Estates-Danforth,67.00,7804.00,3.08,42.51,194.00,2014.00
Pleasant View,46.00,15818.00,9.92,22.56,0.00,2014.00
Princess-Rosethorn,10.00,11051.00,4.65,39.52,0.00,2014.00
Regent Park,72.00,10803.00,10.84,42.52,2120.00,2014.00
Rexdale-Kipling,4.00,10529.00,7.89,23.31,308.00,2014.00
Rockcliffe-Smythe,111.00,22246.00,15.85,31.87,1092.00,2014.00
Roncesvalles,86.00,14974.00,6.04,44.85,511.00,2014.00
Rosedale-Moore Park,98.00,20923.00,9.84,32.20,520.00,2014.00
Rouge,131.00,46496.00,13.44,21.95,332.00,2014.00
Runnymede-Bloor West Village,89.00,10070.00,4.39,45.64,4.00,2014.00
Rustic,28.00,9941.00,13.08,16.55,1292.00,2014.00
Scarborough Village,139.00,16724.00,19.50,35.48,788.00,2014.00
South Parkdale,85.00,21849.00,17.53,26.84,1600.00,2014.00
South Riverdale,70.00,27876.00,7.56,45.86,1479.00,2014.00
St.Andrew-Windfields,40.00,17812.00,13.11,18.23,38.00,2014.00
Steeles,116.00,24623.00,10.57,11.36,0.00,2014.00
Stonegate-Queensway,16.00,25051.00,7.55,31.23,129.00,2014.00
Tam O'Shanter-Sullivan,118.00,27446.00,12.93,41.37,607.00,2014.00
Taylor-Massey,61.00,15683.00,16.92,38.19,381.00,2014.00
The Beaches,63.00,21567.00,7.85,31.53,151.00,2014.00
Thistletown-Beaumond Heights,3.00,10360.00,16.04,42.26,372.00,2014.00
Thorncliffe Park,55.00,21108.00,14.24,34.53,567.00,2014.00
Trinity-Bellwoods,81.00,16556.00,10.00,35.45,250.00,2014.00
University,79.00,7607.00,20.00,42.62,326.00,2014.00
Victoria Village,43.00,17510.00,14.08,26.90,922.00,2014.00
Waterfront Communities-The Island,77.00,65913.00,17.82,31.61,2644.00,2014.00
West Hill,136.00,27392.00,19.37,28.06,2052.00,2014.00
West Humber-Clairville,1.00,33312.00,15.34,23.82,950.00,2014.00
Westminster-Branson,35.00,26274.00,16.48,24.63,966.00,2014.00
Weston,113.00,17992.00,15.09,41.45,1036.00,2014.00
Weston-Pellam Park,91.00,11098.00,20.49,52.57,734.00,2014.00
Wexford/Maryvale,119.00,27917.00,12.05,42.08,736.00,2014.00
Willowdale East,51.00,50434.00,12.00,28.90,496.00,2014.00
Willowdale West,37.00,16936.00,9.30,17.67,664.00,2014.00
Willowridge-Martingrove-Richview,7.00,22156.00,14.69,30.46,762.00,2014.00
Woburn,137.00,53485.00,15.19,27.73,2594.00,2014.00
Woodbine Corridor,64.00,12541.00,10.26,29.04,950.00,2014.00
Woodbine-Lumsden,60.00,7865.00,4.92,27.87,203.00,2014.00
Wychwood,94.00,14349.00,7.00,40.49,1229.00,2014.00
Yonge-Eglinton,100.00,11817.00,2.33,31.95,0.00,2014.00
Yonge-St.Clair,97.00,12528.00,8.33,32.65,0.00,2014.00
York University Heights,27.00,27593.00,24.11,47.00,511.00,2014.00
Yorkdale-Glen Park,31.00,14804.00,19.27,21.66,657.00,2014.00
